edit_authors,edit_venue,edit_year,jaro_winkler_authors,jaccard_authors,jaccard_venue,jaccard_year,diff_year,answer,Blocking_key
0.0,0.0,0.0,1,1,1,1,1.0,1,ABOUNDONTHEERROROFCROSSVALIDATIONWITHCONSEQUENCESFORTHETRAININGTESTSPLIT
0.0,0.0,0.0,1,1,1,1,1.0,1,ABOUNDONTHEERROROFCROSSVALIDATIONWITHCONSEQUENCESFORTHETRAININGTESTSPLIT
0.0,0.0,0.0,1,1,1,1,1.0,1,ABOUNDONTHEERROROFCROSSVALIDATIONWITHCONSEQUENCESFORTHETRAININGTESTSPLIT
0.3392857142857143,0.12857142857142856,0.0,0.7630303030303031,0.6545454545454545,0.8133333333333334,1,1.0,1,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.3392857142857143,0.12857142857142856,0.0,0.7630303030303031,0.6545454545454545,0.8133333333333334,1,1.0,1,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.35714285714285715,0.8142857142857143,0.0,0.7623376623376624,0.6363636363636364,0.3,1,1.0,1,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.625,0.9857142857142858,0.5555555555555556,0.697346009110715,0.6545454545454545,0,0.3333333333333333,0.0,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.3392857142857143,0.8,0.2,0.7630303030303031,0.6545454545454545,0.21739130434782608,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.3392857142857143,0.8,0.2,0.7630303030303031,0.6545454545454545,0.21739130434782608,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.35714285714285715,0.8,0.2,0.7623376623376624,0.6363636363636364,0.21739130434782608,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.35714285714285715,0.8,0.2,0.7623376623376624,0.6363636363636364,0.21739130434782608,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.0,0.0,0.0,1,1,1,1,1.0,1,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.02702702702702703,0.8235294117647058,0.0,0.9916666666666667,0.9722222222222222,0.2714285714285714,1,1.0,1,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.43243243243243246,0.9852941176470589,0.5555555555555556,0.938888888888889,1.0,0,0.3333333333333333,0.0,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.0,0.8088235294117647,0.2,1,1,0.22388059701492538,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
0.0,0.8088235294117647,0.2,1,1,0.22388059701492538,0.6,0.99899849774662,0,ACOMPARISONOFNEWANDOLDALGORITHMSFORAMIXTUREESTIMATIONPROBLEM
